Order Id,Customer Id,order date (DateOrders),Order Status,Order Region,Order State
77202,20755,1/31/2018 22:56,COMPLETE,Southeast Asia,Java Occidental
75939,19492,1/13/2018 12:27,PENDING,South Asia,Rajastán
75938,19491,1/13/2018 12:06,CLOSED,South Asia,Rajastán
75937,19490,1/13/2018 11:45,COMPLETE,Oceania,Queensland
75936,19489,1/13/2018 11:24,PENDING_PAYMENT,Oceania,Queensland
75935,19488,1/13/2018 11:03,CANCELED,Oceania,Queensland
75934,19487,1/13/2018 10:42,COMPLETE,Eastern Asia,Guangdong
75933,19486,1/13/2018 10:21,PROCESSING,Eastern Asia,Guangdong
75932,19485,1/13/2018 10:00,CLOSED,Eastern Asia,Guangdong
75931,19484,1/13/2018 9:39,CLOSED,Eastern Asia,Guangdong
75930,19483,1/13/2018 9:18,SUSPECTED_FRAUD,Eastern Asia,Tokio
75929,19482,1/13/2018 8:57,PENDING,Southeast Asia,Célebes Septentrional
75928,19481,1/13/2018 8:36,PENDING,Southeast Asia,Célebes Septentrional
75927,19480,1/13/2018 8:15,COMPLETE,South Asia,Maharashtra
75926,19479,1/13/2018 7:54,PROCESSING,South Asia,Maharashtra
75925,19478,1/13/2018 7:33,COMPLETE,South Asia,Maharashtra
75924,19477,1/13/2018 7:12,PENDING_PAYMENT,Eastern Asia,Seúl
75923,19476,1/13/2018 6:51,CLOSED,South Asia,Madhya Pradesh
75922,19475,1/13/2018 6:30,COMPLETE,South Asia,Madhya Pradesh
75921,19474,1/13/2018 6:09,PENDING_PAYMENT,South Asia,Madhya Pradesh
75920,19473,1/13/2018 5:48,PROCESSING,South Asia,Madhya Pradesh
75919,19472,1/13/2018 5:27,PENDING,South Asia,Madhya Pradesh
75918,19471,1/13/2018 5:06,PENDING,Oceania,Victoria
75917,19470,1/13/2018 4:45,CANCELED,Oceania,Victoria
75916,19469,1/13/2018 4:24,SUSPECTED_FRAUD,Oceania,Queensland
75915,19468,1/13/2018 4:03,COMPLETE,Oceania,Australia Occidental
75914,19467,1/13/2018 3:42,PENDING,Oceania,Australia Occidental
75913,19466,1/13/2018 3:21,PENDING_PAYMENT,Eastern Asia,Guangxi
75912,19465,1/13/2018 3:00,COMPLETE,Eastern Asia,Guangxi
75911,19464,1/13/2018 2:39,PROCESSING,Eastern Asia,Guangxi
75910,19463,1/13/2018 2:18,ON_HOLD,Eastern Asia,Guangxi
75909,19462,1/13/2018 1:57,COMPLETE,South Asia,Delhi
75908,19461,1/13/2018 1:36,PENDING_PAYMENT,South Asia,Delhi
75907,19460,1/13/2018 1:15,COMPLETE,Eastern Asia,Gansu
75906,19459,1/13/2018 0:54,PENDING_PAYMENT,Eastern Asia,Gansu
75905,19458,1/13/2018 0:33,PENDING_PAYMENT,Southeast Asia,Singapur
75904,19457,1/13/2018 0:12,CLOSED,South Asia,Karnataka
75903,19456,1/12/2018 23:51,COMPLETE,Oceania,Nueva Gales del Sur
75902,19455,1/12/2018 23:30,COMPLETE,Oceania,Nueva Gales del Sur
75901,19454,1/12/2018 23:09,CANCELED,Oceania,Nueva Gales del Sur
75900,19453,1/12/2018 22:48,PENDING_PAYMENT,Southeast Asia,Singapur
75899,19452,1/12/2018 22:27,COMPLETE,Southeast Asia,Singapur
75898,19451,1/12/2018 22:05,CLOSED,Southeast Asia,Sumatra Septentrional
75897,19450,1/12/2018 21:44,PENDING_PAYMENT,Southeast Asia,Sumatra Septentrional
75896,19449,1/12/2018 21:23,COMPLETE,Oceania,Territorio de la Capital Australiana
75895,19448,1/12/2018 21:02,PENDING,South Asia,Karnataka
75894,19447,1/12/2018 20:41,PENDING,South Asia,Karnataka
75893,19446,1/12/2018 20:20,PROCESSING,Eastern Asia,Zhejiang
28744,9083,2/24/2016 13:57,PENDING_PAYMENT,South Asia,Uttar Pradesh
45461,4741,10/25/2016 14:39,PENDING_PAYMENT,West Asia,Bursa
31115,639,3/30/2016 4:37,PENDING_PAYMENT,Oceania,Australia del Sur
45766,9702,10/30/2016 1:31,PENDING_PAYMENT,West Asia,Estambul
47752,9114,11/28/2016 1:18,PENDING_PAYMENT,Eastern Asia,Ulán Bator
50054,1362,12/31/2016 15:47,PENDING_PAYMENT,West Asia,Estambul
20365,8011,10/25/2015 6:24,PENDING_PAYMENT,South Asia,Rajastán
36146,3296,6/11/2016 15:12,PENDING_PAYMENT,West of USA ,Washington
41234,3182,8/24/2016 21:45,PENDING_PAYMENT,West of USA ,California
32090,7864,4/13/2016 10:12,PENDING_PAYMENT,West of USA ,California
34773,11169,5/22/2016 14:10,PENDING_PAYMENT,US Center ,Kansas
44046,5197,10/4/2016 22:55,PENDING_PAYMENT,West Africa,Cross River
46414,1535,11/8/2016 12:32,PENDING_PAYMENT,Central Africa,Kinshasa
46599,6122,11/11/2016 5:21,PENDING_PAYMENT,West Africa,Dakar
48434,9451,12/8/2016 0:14,PENDING_PAYMENT,North Africa,Gran Casablanca
12827,542,7/7/2015 5:31,PENDING_PAYMENT,Western Europe,Renania del Norte-Westfalia
63936,11329,7/22/2017 7:16,PENDING_PAYMENT,Western Europe,Isla de Francia
65030,3570,8/7/2017 6:33,PENDING_PAYMENT,Western Europe,Países del Loira
18108,650,9/22/2015 7:41,PENDING_PAYMENT,Western Europe,Groningen
62571,9353,7/2/2017 9:03,PENDING_PAYMENT,Northern Europe,Inglaterra
17162,54,9/8/2015 12:15,PENDING_PAYMENT,Northern Europe,Inglaterra
65922,12151,8/20/2017 7:03,PENDING_PAYMENT,Western Europe,Alsacia-Champaña-Ardenas-Lorena
64813,10018,8/4/2017 2:31,PENDING_PAYMENT,Northern Europe,Inglaterra
67892,3182,9/18/2017 1:14,PENDING_PAYMENT,Western Europe,Renania del Norte-Westfalia
12525,4936,7/2/2015 19:42,PENDING_PAYMENT,Western Europe,Provenza-Alpes-Costa Azul
5895,8707,3/28/2015 0:55,PENDING_PAYMENT,Central America,Guatemala
56359,1025,4/2/2017 16:43,PENDING_PAYMENT,Central America,San Salvador
58613,8831,5/5/2017 14:23,PENDING_PAYMENT,Central America,Chiriquí
7824,10679,4/25/2015 4:44,PENDING_PAYMENT,Caribbean,Santo Domingo
7814,5007,4/25/2015 1:14,PENDING_PAYMENT,South America,Zulia
60807,9854,6/6/2017 15:03,PENDING_PAYMENT,Caribbean,Santo Domingo
53413,376,2/18/2017 16:36,PENDING_PAYMENT,South America,Risaralda
7888,5417,4/26/2015 3:10,PENDING_PAYMENT,Central America,San Salvador
6783,10759,4/10/2015 0:02,PENDING_PAYMENT,Central America,Francisco Morazán
56973,8541,4/11/2017 15:49,PENDING_PAYMENT,South America,Bahía
55155,3752,3/16/2017 2:54,PENDING_PAYMENT,Central America,Distrito Federal
5991,4673,3/29/2015 10:33,PENDING_PAYMENT,Central America,Jalisco
2263,5367,2/3/2015 0:28,PENDING_PAYMENT,Central America,Puebla
53403,10485,2/18/2017 13:05,PENDING_PAYMENT,Central America,Distrito Federal
51298,9272,1/18/2017 19:37,PENDING_PAYMENT,South America,São Paulo
4919,647,3/13/2015 18:59,PENDING,South America,Montevideo
52640,6398,2/7/2017 9:47,PENDING,South America,Buenos Aires
6358,4209,4/3/2015 19:08,PENDING,South America,São Paulo
57106,8917,4/13/2017 14:25,PENDING,South America,São Paulo
6245,7784,4/2/2015 3:33,PENDING,South America,Paraná
52166,1425,1/31/2017 11:43,PENDING,Caribbean,Camagüey
56172,2737,3/30/2017 23:12,PENDING,Caribbean,Las Tunas
55829,6428,3/25/2017 23:02,PENDING,Caribbean,Santo Domingo
52478,6543,2/5/2017 1:01,PENDING,Central America,Nayarit
57242,3990,4/15/2017 14:04,PENDING,Central America,Panamá
3137,8524,2/15/2015 18:40,PENDING,Central America,México
60127,9204,5/27/2017 16:48,PENDING,South America,Alagoas
3828,11761,2/25/2015 20:46,PENDING,Central America,Chiriquí
60386,9554,5/31/2017 11:33,PENDING,South America,Minas Gerais
973,5118,1/15/2015 4:32,PENDING,Caribbean,Santiago de Cuba
57999,5506,4/26/2017 15:16,PENDING,Central America,Cortés
54585,1423,3/7/2017 19:12,PENDING,South America,Lima (ciudad)
57598,138,4/20/2017 18:47,PENDING,Caribbean,Holguín
54274,6360,3/3/2017 6:14,PENDING,Central America,Veracruz
60673,2053,6/4/2017 16:06,PENDING,Central America,Managua
59387,10344,5/16/2017 21:33,PENDING,Central America,Tabasco
10007,3375,5/27/2015 1:32,PENDING,South America,Ceará
55984,1339,3/28/2017 5:20,PENDING,Central America,San Salvador
58375,3990,5/2/2017 3:00,PENDING,Central America,Guatemala
56448,7247,4/3/2017 23:53,PENDING,Caribbean,Isla de la Juventud
8221,1273,4/30/2015 23:49,PROCESSING,South America,Buenos Aires
58034,6277,4/27/2017 3:32,PROCESSING,Central America,Chimaltenango
2203,7701,2/2/2015 3:27,PROCESSING,Central America,Guatemala
53069,4126,2/13/2017 16:05,PROCESSING,South America,Pichincha
60146,9528,5/27/2017 23:28,PROCESSING,Central America,Managua
55409,1853,3/19/2017 19:53,PROCESSING,South America,Guárico
8678,11149,5/7/2015 15:56,PROCESSING,Central America,Panamá
7980,5828,4/27/2015 11:23,PROCESSING,Central America,Panamá
57185,6887,4/14/2017 18:06,PROCESSING,Central America,Guatemala
8636,4781,5/7/2015 1:13,PROCESSING,South America,São Paulo
61192,10668,6/12/2017 5:55,PROCESSING,South America,Marañón
55876,5421,3/26/2017 15:30,PROCESSING,Central America,León
53331,10200,2/17/2017 11:52,PROCESSING,Central America,Distrito Federal
51725,11254,1/25/2017 1:13,PROCESSING,Central America,San Salvador
52562,11106,2/6/2017 6:27,PROCESSING,South America,Río Negro
59754,8456,5/22/2017 6:08,PROCESSING,Central America,San Salvador
